Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size
Passenger Van/Shuttle Bus,Transit Connect Wagon LWB FFV,2022,Ford,Ethanol (E85),,18.0,26.0,Automatic,2.0L
Van,Transit T150 Passenger Van 2WD FFV,2022,Ford,Ethanol (E85),,12.0,17.0,Automatic,3.5L
Van,Transit T150 Passenger Van 4WD FFV,2022,Ford,Ethanol (E85),,12.0,16.0,Automatic,3.5L
Pickup,Canyon 2WD,2022,GMC,Biodiesel (B20),,,23.0,Automatic,2.8L
Pickup,Canyon 4WD,2022,GMC,Biodiesel (B20),,,22.0,Automatic,2.8L
Pickup,Sierra 2WD,2022,GMC,Ethanol (E85),,12.0,16.0,Automatic,5.3L
Pickup,Sierra 2WD,2022,GMC,Biodiesel (B20),,,26.0,Automatic,3.0L
Pickup,Sierra 4WD,2022,GMC,Ethanol (E85),,12.0,16.0,Automatic,5.3L
Pickup,Sierra 4WD,2022,GMC,Biodiesel (B20),,,24.0,Automatic,3.0L
Pickup,Sierra 4WD - Mud Terrain Tires,2022,GMC,Biodiesel (B20),,,21.0,Automatic,3.0L
Pickup,Sierra 4WD - Mud Terrain Tires,2022,GMC,Ethanol (E85),,12.0,15.0,Automatic,5.3L
SUV,Yukon 2WD,2022,GMC,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Yukon 4WD,2022,GMC,Biodiesel (B20),,,22.0,Automatic,3.0L
SUV,Yukon XL 2WD,2022,GMC,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Yukon XL 4WD,2022,GMC,Biodiesel (B20),,,22.0,Automatic,3.0L
Sedan/Wagon,Accord,2022,Honda,Hybrid Electric,,,47.0,Automatic,2.0L
Sedan/Wagon,Accord Sport/Touring,2022,Honda,Hybrid Electric,,,43.0,Automatic,2.0L
SUV,CR-V AWD,2022,Honda,Hybrid Electric,,,38.0,Automatic,2.0L
Sedan/Wagon,Insight,2022,Honda,Hybrid Electric,,,52.0,Automatic,1.5L
Sedan/Wagon,Insight Touring,2022,Honda,Hybrid Electric,,,48.0,Automatic,1.5L
Sedan/Wagon,Elantra Hybrid,2022,Hyundai,Hybrid Electric,,,50.0,Automatic,1.6L
Sedan/Wagon,Elantra Hybrid Blue,2022,Hyundai,Hybrid Electric,,,54.0,Automatic,1.6L
Sedan/Wagon,Ioniq,2022,Hyundai,Hybrid Electric,,,55.0,Automatic,1.6L
SUV,Ioniq 5 AWD (Long Range),2022,Hyundai,Electric,256.0,98.0,,Automatic,74 kW and 165 kW electric motors
SUV,Ioniq 5 RWD,2022,Hyundai,Electric,220.0,110.0,,Automatic,125 kW electric motor
SUV,Ioniq 5 RWD (Long Range),2022,Hyundai,Electric,303.0,114.0,,Automatic,168 kW electric motor
