date,relative_humidity_2m,apparent_temperature,rain,snowfall,snow_depth,cloud_cover_low,wind_speed_10m,wind_gusts_10m
2021-04-06 12:00:00.000000 UTC,28.0,12.8,0.0,0.0,0.0,0.0,17.2,34.2
2022-12-24 12:00:00.000000 UTC,28.0,-17.7,0.0,0.0,0.0,0.0,26.1,47.9
2023-05-17 12:00:00.000000 UTC,28.0,13.9,0.0,0.0,0.0,0.0,20.8,40.3
2021-03-15 12:00:00.000000 UTC,28.0,-6.2,0.0,0.0,0.0,0.0,25.9,50.0
2021-05-15 12:00:00.000000 UTC,28.0,22.8,0.0,0.0,0.0,0.0,3.3,22.3
2021-04-24 13:00:00.000000 UTC,28.0,18.3,0.0,0.0,0.0,0.0,12.6,28.8
2022-03-21 13:00:00.000000 UTC,28.0,9.7,0.0,0.0,0.0,0.0,24.7,44.3
2022-01-15 13:00:00.000000 UTC,28.0,-12.1,0.0,0.0,0.02,0.0,15.5,31.0
2022-04-28 13:00:00.000000 UTC,28.0,5.5,0.0,0.0,0.0,0.0,33.9,59.0
2023-04-14 13:00:00.000000 UTC,28.0,28.8,0.0,0.0,0.0,0.0,14.1,26.6
2021-03-19 13:00:00.000000 UTC,28.0,-2.5,0.0,0.0,0.0,0.0,31.3,59.0
2023-05-26 13:00:00.000000 UTC,28.0,19.8,0.0,0.0,0.0,0.0,13.9,28.1
2021-04-05 13:00:00.000000 UTC,28.0,12.6,0.0,0.0,0.0,0.0,26.3,47.2
2023-05-12 13:00:00.000000 UTC,28.0,28.6,0.0,0.0,0.0,0.0,9.7,20.9
2021-05-15 13:00:00.000000 UTC,28.0,22.0,0.0,0.0,0.0,0.0,3.1,15.1
2020-03-04 13:00:00.000000 UTC,28.0,5.6,0.0,0.0,0.0,0.0,32.0,60.1
2021-03-05 14:00:00.000000 UTC,28.0,-5.2,0.0,0.0,0.04,0.0,30.3,54.7
2023-04-10 14:00:00.000000 UTC,28.0,15.8,0.0,0.0,0.0,0.0,7.7,20.9
2020-02-23 14:00:00.000000 UTC,28.0,6.3,0.0,0.0,0.0,0.0,18.2,33.1
2021-05-01 14:00:00.000000 UTC,28.0,13.0,0.0,0.0,0.0,0.0,23.4,47.9
2023-05-26 14:00:00.000000 UTC,28.0,19.5,0.0,0.0,0.0,0.0,15.3,29.5
2020-02-28 14:00:00.000000 UTC,28.0,-3.4,0.0,0.0,0.0,0.0,34.2,61.6
2022-12-25 14:00:00.000000 UTC,28.0,-8.4,0.0,0.0,0.0,0.0,20.6,41.4
2020-04-16 14:00:00.000000 UTC,28.0,2.4,0.0,0.0,0.0,0.0,27.9,50.0
2022-12-24 14:00:00.000000 UTC,28.0,-13.3,0.0,0.0,0.0,58.0,29.9,51.5
2022-03-21 14:00:00.000000 UTC,28.0,9.3,0.0,0.0,0.0,0.0,30.3,51.8
2023-05-10 14:00:00.000000 UTC,28.0,20.0,0.0,0.0,0.0,0.0,7.9,20.5
2023-04-07 14:00:00.000000 UTC,28.0,7.2,0.0,0.0,0.0,0.0,21.9,37.1
2021-03-05 15:00:00.000000 UTC,28.0,-5.5,0.0,0.0,0.04,0.0,29.5,54.0
2023-02-13 15:00:00.000000 UTC,28.0,8.7,0.0,0.0,0.0,0.0,12.0,22.3
2020-03-27 15:00:00.000000 UTC,28.0,14.2,0.0,0.0,0.0,0.0,14.5,29.9
2022-06-08 15:00:00.000000 UTC,28.0,29.3,0.0,0.0,0.0,0.0,7.4,24.5
2022-07-30 15:00:00.000000 UTC,28.0,29.9,0.0,0.0,0.0,0.0,19.8,34.6
2020-02-23 15:00:00.000000 UTC,28.0,6.3,0.0,0.0,0.0,0.0,17.8,33.5
2023-04-24 15:00:00.000000 UTC,28.0,11.1,0.0,0.0,0.0,0.0,18.7,36.4
2021-03-13 15:00:00.000000 UTC,28.0,3.5,0.0,0.0,0.0,0.0,16.6,32.0
2023-05-10 15:00:00.000000 UTC,28.0,19.0,0.0,0.0,0.0,0.0,8.2,19.8
2020-04-06 15:00:00.000000 UTC,28.0,13.2,0.0,0.0,0.0,0.0,16.4,30.6
2023-02-03 15:00:00.000000 UTC,28.0,-14.9,0.0,0.0,0.0,0.0,38.3,66.6
2022-03-21 15:00:00.000000 UTC,28.0,8.9,0.0,0.0,0.0,0.0,30.0,52.2
2020-05-07 15:00:00.000000 UTC,28.0,12.1,0.0,0.0,0.0,0.0,19.8,38.9
2020-05-12 16:00:00.000000 UTC,28.0,7.1,0.0,0.0,0.0,0.0,28.1,51.1
2020-03-27 16:00:00.000000 UTC,28.0,13.5,0.0,0.0,0.0,0.0,13.1,27.7
2023-05-26 16:00:00.000000 UTC,28.0,18.9,0.0,0.0,0.0,0.0,13.6,27.7
2022-09-01 16:00:00.000000 UTC,28.0,26.8,0.0,0.0,0.0,0.0,17.3,30.2
2020-03-21 16:00:00.000000 UTC,28.0,4.7,0.0,0.0,0.0,0.0,13.6,29.2
2023-04-02 16:00:00.000000 UTC,28.0,4.1,0.0,0.0,0.0,0.0,16.3,32.8
2022-06-20 17:00:00.000000 UTC,28.0,23.1,0.0,0.0,0.0,0.0,14.3,23.4
2023-02-04 17:00:00.000000 UTC,28.0,-10.1,0.0,0.0,0.0,0.0,14.1,27.4
2022-02-19 17:00:00.000000 UTC,28.0,-7.9,0.0,0.0,0.0,0.0,35.5,60.8
2020-04-22 17:00:00.000000 UTC,28.0,2.0,0.0,0.0,0.0,0.0,30.4,54.4
2020-02-14 17:00:00.000000 UTC,28.0,-10.0,0.0,0.0,0.0,0.0,20.5,41.4
2023-04-02 17:00:00.000000 UTC,28.0,3.7,0.0,0.0,0.0,0.0,15.8,29.9
2023-05-17 18:00:00.000000 UTC,28.0,8.6,0.0,0.0,0.0,0.0,21.3,42.1
2022-07-03 18:00:00.000000 UTC,28.0,27.3,0.0,0.0,0.0,0.0,7.6,12.2
2022-04-29 18:00:00.000000 UTC,28.0,7.5,0.0,0.0,0.0,0.0,19.9,39.2
2023-02-03 18:00:00.000000 UTC,28.0,-17.8,0.0,0.0,0.0,0.0,33.1,59.0
2022-01-15 18:00:00.000000 UTC,28.0,-11.5,0.0,0.0,0.02,0.0,9.4,16.2
2022-04-28 19:00:00.000000 UTC,28.0,3.2,0.0,0.0,0.0,0.0,20.4,43.2
2020-03-13 21:00:00.000000 UTC,28.0,6.1,0.0,0.0,0.0,0.0,20.9,38.9
2021-03-12 22:00:00.000000 UTC,28.0,4.7,0.0,0.0,0.0,0.0,26.1,42.5
2021-03-15 09:00:00.000000 UTC,29.0,-10.9,0.0,0.0,0.0,0.0,26.8,49.0
2022-04-29 10:00:00.000000 UTC,29.0,5.5,0.0,0.0,0.0,0.0,26.5,46.8
2023-05-15 10:00:00.000000 UTC,29.0,16.9,0.0,0.0,0.0,0.0,10.1,22.7
2021-03-15 10:00:00.000000 UTC,29.0,-9.6,0.0,0.0,0.0,0.0,27.1,50.0
2022-07-04 10:00:00.000000 UTC,29.0,26.7,0.0,0.0,0.0,0.0,6.1,18.4
2021-04-06 11:00:00.000000 UTC,29.0,11.4,0.0,0.0,0.0,0.0,16.0,32.4
2021-03-15 11:00:00.000000 UTC,29.0,-7.8,0.0,0.0,0.0,0.0,26.9,50.0
2021-05-19 12:00:00.000000 UTC,29.0,27.2,0.0,0.0,0.0,0.0,12.3,26.6
